# Bulbe : BC95, IMF x= 1.35 Y=0.28 Z=0.02 Age 10.0 Gyr
Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
0.131,5.4,5,5.6,3.728,4.54,2,0.97,0.796,0.387,0.846,1.94,11.046,-0.01,258.98001,40.35,0.069,4.683
0.131,5.2,5,5.5,3.74,4.52,2,0.99,0.764,0.342,0.821,1.82,10.903,0.14,258.98001,40.35,0.069,4.515
0.131,4.7,5,5.3,3.76,4.43,5,1.03,0.659,0.129,0.727,1.608,10.377,-0.02,258.98001,40.35,0.069,4.047
0.131,4.6,5,5.1,3.77,4.42,5,1.06,0.63,0.115,0.692,1.534,10.19,0.07,258.98001,40.35,0.069,3.979
0.131,3.5,5,4.7,3.79,4.13,5,1.21,0.546,0.027,0.612,1.357,9.107,-0.07,258.98001,40.35,0.069,2.942
0.131,3.6,5,4.8,3.78,4.14,5,1.24,0.561,-0.003,0.651,1.464,9.177,-0.25,258.98001,40.35,0.069,3.01
0.131,9.0,5,6.88,3.606,4.85,8,0.49,1.276,0.847,1.708,3.131,14.622,-1.64,258.98001,40.35,0.069,8.101
0.156,8.9,5,7.0,3.59,4.72,2,0.6,1.414,1.275,1.762,3.698,14.938,0.05,258.98001,40.35,0.076,7.466
0.156,8.9,5,7.0,3.59,4.72,6,0.6,1.425,1.267,1.758,3.808,14.991,0.0,258.98001,40.35,0.076,7.466
0.156,8.6,5,7.0,3.598,4.7,7,0.61,1.381,1.177,1.704,3.447,14.612,-0.44,258.98001,40.35,0.076,7.198
0.156,8.5,5,7.0,3.601,4.68,2,0.62,1.389,1.299,1.675,3.554,14.492,0.04,258.98001,40.35,0.076,7.098
0.156,8.3,5,6.9,3.607,4.67,4,0.64,1.368,1.253,1.618,3.517,14.368,-0.1,258.98001,40.35,0.076,6.93
0.156,8.3,5,6.9,3.607,4.68,2,0.65,1.359,1.336,1.627,3.326,14.388,0.21,258.98001,40.35,0.076,6.93
0.156,8.0,5,6.7,3.616,4.66,4,0.67,1.327,1.216,1.525,3.349,14.091,-0.15,258.98001,40.35,0.076,6.662
0.156,8.0,5,6.7,3.616,4.66,6,0.67,1.338,1.256,1.526,3.419,14.026,-0.02,258.98001,40.35,0.076,6.662
0.156,7.9,5,6.7,3.62,4.68,6,0.68,1.321,1.311,1.505,3.169,13.92,0.19,258.98001,40.35,0.076,6.593
0.156,7.2,5,6.5,3.644,4.62,5,0.74,1.215,1.121,1.287,2.923,13.254,-0.13,258.98001,40.35,0.076,5.965
0.156,6.4,5,6.3,3.678,4.59,7,0.82,1.061,0.929,1.032,2.472,12.531,0.01,258.98001,40.35,0.076,5.425
0.156,6.3,5,6.3,3.682,4.56,7,0.82,1.033,0.866,1.009,2.414,12.429,-0.02,258.98001,40.35,0.076,5.325
0.156,6.0,5,6.2,3.697,4.53,6,0.84,0.929,0.608,0.937,2.227,11.953,-0.28,258.98001,40.35,0.076,5.09
0.156,6.0,5,6.1,3.697,4.56,4,0.84,0.968,0.755,0.955,2.242,12.059,0.11,258.98001,40.35,0.076,5.155
0.156,6.0,5,6.1,3.697,4.57,6,0.86,0.931,0.62,0.939,2.229,11.972,-0.25,258.98001,40.35,0.076,5.155
0.156,5.8,5,6.0,3.707,4.56,3,0.9,0.916,0.648,0.922,2.146,11.915,0.11,258.98001,40.35,0.076,5.02
0.156,5.5,5,5.8,3.723,4.51,7,0.95,0.767,0.228,0.862,1.995,11.473,-0.61,258.98001,40.35,0.076,4.751
0.156,4.7,5,5.3,3.76,4.42,6,1.01,0.663,0.137,0.73,1.614,10.756,0.0,258.98001,40.35,0.076,4.047
0.156,4.1,5,5.0,3.77,4.22,7,1.07,0.617,0.075,0.692,1.542,10.239,-0.08,258.98001,40.35,0.076,3.479
0.156,3.6,3,5.6,3.69,3.63,7,1.08,0.956,0.581,0.946,2.283,9.672,-0.46,258.98001,40.35,0.076,2.682
0.156,4.6,5,5.1,3.77,4.44,2,1.1,0.63,0.11,0.694,1.542,10.575,0.05,258.98001,40.35,0.076,3.979
0.156,4.6,5,5.1,3.77,4.44,3,1.1,0.626,0.095,0.692,1.544,10.552,0.0,258.98001,40.35,0.076,3.979
0.156,3.1,4,4.8,3.79,4.01,4,1.38,0.547,0.031,0.615,1.361,9.223,-0.08,258.98001,40.35,0.076,2.615
0.156,3.0,4,4.7,3.81,4.07,3,1.41,0.484,0.014,0.542,1.151,8.954,-0.03,258.98001,40.35,0.076,2.563
0.156,2.7,4,4.7,3.8,3.93,4,1.5,0.53,0.063,0.575,1.249,8.724,0.11,258.98001,40.35,0.076,2.239
0.156,8.8,5,6.84,3.611,4.82,8,0.5,1.301,1.036,1.631,3.178,14.889,-0.77,258.98001,40.35,0.076,7.951
0.156,6.4,5,5.93,3.716,4.66,8,0.7,0.787,0.243,0.875,2.052,12.389,-0.8,258.98001,40.35,0.076,6.148
0.186,8.6,5,7.0,3.598,4.71,5,0.62,1.383,1.328,1.708,3.458,14.968,0.2,258.98001,40.35,0.084,7.198
0.186,8.4,5,6.9,3.604,4.69,6,0.63,1.375,1.23,1.651,3.507,14.784,-0.21,258.98001,40.35,0.084,7.03
0.186,8.3,5,6.9,3.607,4.66,2,0.63,1.377,1.279,1.62,3.568,14.681,-0.02,258.98001,40.35,0.084,6.93
0.186,8.0,5,6.7,3.616,4.66,6,0.67,1.326,1.205,1.529,3.333,14.44,-0.19,258.98001,40.35,0.084,6.662
0.186,7.7,5,6.7,3.626,4.63,3,0.68,1.303,1.297,1.44,3.09,14.094,0.16,258.98001,40.35,0.084,6.393
0.186,7.7,5,6.7,3.626,4.63,6,0.68,1.304,1.275,1.438,3.117,14.198,0.08,258.98001,40.35,0.084,6.393
0.186,7.6,5,6.5,3.63,4.66,7,0.71,1.232,1.038,1.388,2.956,13.948,-0.54,258.98001,40.35,0.084,6.325
0.186,7.0,5,6.5,3.652,4.61,2,0.75,1.202,1.142,1.238,2.817,13.355,0.02,258.98001,40.35,0.084,5.83
0.186,7.0,5,6.5,3.652,4.61,7,0.75,1.154,0.986,1.221,2.783,13.498,-0.4,258.98001,40.35,0.084,5.83
0.186,7.0,5,6.5,3.652,4.62,2,0.76,1.187,1.092,1.232,2.807,13.375,-0.12,258.98001,40.35,0.084,5.83
0.186,7.0,5,6.5,3.652,4.62,4,0.76,1.203,1.163,1.245,2.819,13.474,0.08,258.98001,40.35,0.084,5.83
0.186,6.9,5,6.5,3.656,4.59,4,0.76,1.176,1.093,1.203,2.756,13.336,-0.04,258.98001,40.35,0.084,5.73
0.186,6.7,5,6.4,3.664,4.58,4,0.77,1.149,1.098,1.153,2.664,13.089,0.15,258.98001,40.35,0.084,5.595
0.186,6.8,5,6.4,3.66,4.62,5,0.78,1.153,1.057,1.171,2.703,13.221,-0.04,258.98001,40.35,0.084,5.695
0.186,6.4,5,6.3,3.678,4.57,5,0.78,1.068,0.951,1.04,2.483,12.92,0.07,258.98001,40.35,0.084,5.425
0.186,6.3,5,6.3,3.682,4.56,6,0.83,1.027,0.842,1.01,2.418,12.725,-0.09,258.98001,40.35,0.084,5.325
0.186,5.8,5,6.0,3.707,4.53,2,0.84,0.911,0.62,0.918,2.152,12.32,0.04,258.98001,40.35,0.084,5.02
0.186,6.1,5,6.2,3.692,4.56,5,0.85,0.969,0.71,0.966,2.3,12.585,-0.16,258.98001,40.35,0.084,5.19
0.186,5.8,5,6.0,3.707,4.54,6,0.87,0.899,0.577,0.913,2.149,12.209,-0.08,258.98001,40.35,0.084,5.02
0.186,5.4,5,5.8,3.728,4.48,7,0.89,0.749,0.206,0.85,1.948,11.751,-0.55,258.98001,40.35,0.084,4.651
0.186,5.5,5,5.8,3.723,4.51,6,0.94,0.824,0.433,0.868,2.01,11.876,-0.02,258.98001,40.35,0.084,4.751
0.186,4.9,5,5.4,3.75,4.41,7,0.94,0.658,0.059,0.775,1.73,11.329,-0.49,258.98001,40.35,0.084,4.215
0.186,4.8,5,5.3,3.76,4.43,5,1.02,0.671,0.156,0.738,1.621,11.331,0.05,258.98001,40.35,0.084,4.147
0.186,4.9,5,5.4,3.76,4.47,2,1.06,0.685,0.205,0.743,1.614,11.381,0.19,258.98001,40.35,0.084,4.247
0.186,2.1,5,3.6,3.89,4.15,2,1.76,0.254,0.116,0.281,0.58,8.588,0.08,258.98001,40.35,0.084,1.86
0.186,2.0,5,3.5,3.92,4.24,2,1.87,0.159,0.108,0.161,0.406,8.434,0.05,258.98001,40.35,0.084,1.856
0.186,8.4,5,6.75,3.623,4.78,8,0.54,1.287,1.129,1.475,3.159,14.807,-0.31,258.98001,40.35,0.084,7.657
0.186,5.8,5,5.42,3.746,4.61,8,0.75,0.675,0.082,0.792,1.77,12.187,-0.52,258.98001,40.35,0.084,5.637
