,RA,DEC,ECLONG,ECLAT,V,Ks,TESSMAG,TEFF,RADIUS,MASS,CONTRATIO,SELECTED,tess_ccd,obs_len,isMdwarf,cosi,noise_level,Nplanets,planetRadius,planetPeriod,starID,T0,Ntransits,ars,ecc,rprs,impact,duration,duration_correction,transit_depth,transit_depth_diluted,nsectors
141158,19.623958,-75.081787,308.482044,-67.065291,15.208,10.021,12.397,2906.0,0.142,0.107,0.035635538,True,3,54.8,True,0.020176706428805983,804.2926978026263,4,1.0569382164653538,3.002695614218529,103274,2.3073788054482143,18.0,29.294316696601523,0.014218797138913997,0.06814274205450925,0.5929135890064526,0.028998586683514786,0.8342458153352373,4643.433294707384,4483.655807789964,2.0
141279,106.20923799999998,-51.825081,126.658418,-73.203438,14.792,10.360999999999999,12.713,3517.0,0.468472,0.46841666,0.013658008999999999,True,3,82.19999999999997,True,0.1016577902514606,997.8664319518808,3,2.9585122645661133,1.6615846254756268,103321,0.6551948505145482,50.0,9.790653934655051,0.007562959809223439,0.0578160056142155,0.9879820264748714,0.02053007204161945,0.7019413999750027,3342.6905051829976,3297.651156015281,3.0
141723,66.832699,-80.115059,285.288704,-75.15923999999998,14.888,10.567,12.885,3562.0,0.490762,0.49111417,0.15024996,True,4,137.0,True,0.005532426716484462,1125.8857320488123,3,3.026047677584629,17.146767113945305,103553,15.873244883400234,8.0,45.003640274354524,0.330844446855134,0.0564499013539909,0.17757409238335758,0.12631522649136145,1.7411391201718127,3186.5913628753037,2770.346858238798,5.0
142080,54.31385600000001,-2.013342,51.41814,-20.800684,15.713,10.243,12.872,3056.0,0.184,0.15099999,0.06930133,True,1,27.4,True,0.013346096066699452,1115.5712538868563,1,1.4057485779096437,1.7650462291379698,103699,0.4789296956255863,16.0,17.79432250047099,0.0446566507563969,0.0699436316889282,0.2446377556038433,0.032908873212153425,0.8887142156462234,4892.111613836441,4575.054268226189,1.0
142390,291.740967,56.885632,326.802713,76.00549699999998,8.4020004,7.336999900000001,7.9929999999999986,6908.0,1.65772,1.5046013999999999,0.0063921879000000004,True,4,164.39999999999995,False,0.03378452791346842,91.58496078373501,1,3.3067124951743865,24.509600725204965,103908,23.31488404285255,6.0,24.554045260880017,0.03669805797102056,0.01826180108421296,0.8316608680377559,0.18680413954427247,2.117380303361335,333.4933788393616,331.37516650963823,6.0
142414,256.489877,70.78607199999998,133.143073,83.544556,9.043999699999999,7.374000099999999,8.390999800000001,5637.0,1.07897,0.9993127,0.0032947784999999997,True,4,356.2,False,0.014914501620149956,103.55540861113352,1,3.240347311435832,42.15145733661326,103941,15.036052453069804,9.0,47.246438897089405,0.007461389662102635,0.02749416539495541,0.7075016225374549,0.21163090990236896,2.2536951518909687,755.9291307651636,753.4466908073953,13.0
142484,49.835753,-34.637405,33.465608,-50.496367,10.505,8.8999996,9.897999800000001,5663.0,1.08877,1.0058348,0.0017893154999999996,True,2,54.8,False,0.03899955574699932,192.41099934752015,2,3.61041628786126,7.492012602486283,104038,0.7706733732117675,8.0,14.833421030605294,0.01620228376913064,0.030358442201171808,0.5735111763022931,0.13780011394372882,1.8185716193346608,921.6350128818892,919.9888625503007,2.0
142975,79.06229999999998,-68.133415,334.535809,-85.510728,8.8559999,8.123000099999999,8.5869999,7102.0,1.7295901000000002,1.5766200000000001,0.012749777,True,4,328.7999999999999,False,0.10279215221447036,110.7825529607635,2,1.3649408348995125,3.967917550556512,104652,2.0265227520536118,83.0,7.100307600752252,0.04750113201431402,0.007224852491642405,0.6944127663344539,0.1307052342466395,1.7711368162621848,52.19849352599145,51.54135277187176,12.0
143058,152.440322,-21.670929,163.272675,-30.652902,8.5179996,7.231999900000001,8.0030003,6318.0,1.02197,1.2449017,0.0025040961,True,2,27.4,False,0.03309980376055599,91.84611478775749,3,1.9739435195801356,6.126108835440307,104760,0.1837269001296634,5.0,14.836550162128251,0.031257529697681835,0.01768295832730524,0.4823341603709696,0.11791557387956615,1.682252588973959,312.68701520521375,311.90597267547037,1.0
143392,34.12746,-51.512154,0.999924,-58.985607,3.536,4.1269998999999995,3.8210001000000013,0.0,3.3012599999999996,4.5029502,0.013752961999999999,True,3,54.8,False,0.05020987321204395,60.47285406820839,2,3.37792968611916,16.664366866249516,105070,2.3854778352723898,4.0,13.738778274647874,0.1604527023769002,0.009367619114041579,0.5943922874736208,0.31555565031157645,2.751969405258321,87.75228786575714,86.56180662854341,2.0
