,TESSMAG,Ks,transit_depth,planetPeriod,RADIUS,TEFF
45101,9.3070002,8.3360004,387.8604523018065,3.2205858176989164,1.23318,6013.0
45187,9.364999800000001,8.5190001,223.05174129378258,4.291728395827201,1.19212,5922.0
45383,10.579,9.253000300000002,11359.014118774598,2.4633959335923112,0.9849,5388.0
46135,11.244000000000002,8.908,926.8196003174146,7.601566157660968,0.49315599,3567.0
46136,11.244000000000002,8.908,876.9127086592216,8.27822350405934,0.49315599,3567.0
46269,13.325999999999999,10.212,5192.988023127134,5.482435301416042,0.165838,2883.0
47209,13.324000000000002,10.8,8882.63097748877,6.363787755683224,0.264,3255.0
47401,12.002,9.510000199999999,2778.6169882332288,2.3344587124275136,0.27500001,3277.0
47822,12.632,10.312999999999999,6361.277652530508,7.7043335457125215,0.37599999,3478.0
48180,12.904000000000002,10.716,4998.427048087221,8.983082317561262,0.36399999,3454.0
48227,12.935,10.523,3385.703737819047,6.029038006514796,0.324,3377.0
48627,11.585999999999999,9.321999499999999,3368.580876363371,3.5126914721744398,0.391,3507.0
49146,11.369000000000002,9.5579996,1870.0663924045136,9.682101723024608,0.69757497,4281.0
49163,10.927999999999999,9.5380001,1405.4224149384054,10.765293390489374,0.82497603,4896.0
49517,13.764000000000001,11.128,5559.059886614301,3.82864045643504,0.29723999,3204.0
49644,9.0950003,7.765999799999999,362.1777279918633,8.593558506377011,0.87457401,4968.0
49812,10.615,9.656000099999998,699.313422343702,21.647483803481048,0.82787901,5894.0
49987,11.515,9.2989998,1544.7036469875236,3.3639174291019307,0.45899999,3636.0
50290,13.462,11.073,4356.153208939179,3.6040469461225086,0.30000001,3330.0
52712,12.775,10.432,3784.492028315984,6.839647436319934,0.37,3467.0
54206,9.4680004,8.4870005,538.9610936185234,65.36121707186135,1.06996,6169.0
54423,9.4420004,8.501999900000001,183.6316262337351,14.362949941179465,1.2654299999999998,6276.0
54572,9.421999900000001,8.406000099999998,501.5131457876128,2.3058627400793634,0.72459197,5630.0
54624,9.4499998,8.5710001,282.70171157685365,3.756873816242849,1.18135,5841.0
54898,9.6630001,8.812000300000003,695.1809843632457,23.753779256078797,1.13624,6048.0
54997,10.527000000000001,9.477999699999998,1431.8213277858679,14.255199219771226,0.90398401,5629.0
55083,10.124,9.137000099999998,683.9282960452161,4.320399863479508,0.98453599,5618.0
55101,11.155999999999999,10.175,499.1873328468042,15.443021540514307,0.97257298,5800.0
55102,11.155999999999999,10.175,295.4823009882265,5.023425297767111,0.97257298,5800.0
55221,10.362,9.303000500000001,535.4344853344252,0.8206780866918356,0.86990899,5676.0
55500,10.139,8.880000099999998,960.39709408464,3.5697219976464862,0.89183998,5125.0
55509,9.9589996,9.062999699999999,346.4567273540433,46.5221596645693,1.1873699,5911.0
55518,10.545,9.121999699999998,757.1381686347569,13.764803617090205,0.82471198,4895.0
55554,9.9919996,9.041999800000001,137.81138535341458,4.023482454701442,1.1435799999999998,5805.0
55555,9.9919996,9.041999800000001,266.03984270869097,35.79657155168224,1.1435799999999998,5805.0
55556,9.9919996,9.041999800000001,255.9820055115857,5.417092986051797,1.1435799999999998,5805.0
55627,9.109000199999999,7.839000200000001,239.60583814003783,3.2258478771428494,0.8804040000000001,5089.0
55641,9.112999900000002,8.6070004,1028.9547240746144,12.084928508290286,1.69651,7011.0
55642,9.112999900000002,8.6070004,170.1536357755412,11.059742493841037,1.69651,7011.0
55701,9.9139996,8.593999900000002,687.807152171832,2.680985126305937,0.88354403,5099.0
56215,6.612,6.0250001,98.44180598961887,2.973073256242974,1.5693001,6693.0
56259,8.8920002,8.3479996,40.84449151620946,0.9999974194986682,1.5754499,6707.0
56570,9.4359999,8.592,400.6049986624514,4.339895705237834,1.27148,6093.0
56727,9.015999800000001,7.494,360.9407244203823,6.621631409259921,0.71017802,4354.0
56754,9.9960003,8.1289997,2289.067805058812,5.619644205712099,0.68867302,4230.0
56838,10.595,9.5500002,177.947435368579,6.738928878454438,1.11889,5742.0
56839,10.595,9.5500002,833.7582689470697,19.298911977998923,1.11889,5742.0
56840,10.595,9.5500002,590.8332620419612,5.0428165692467735,1.11889,5742.0
56908,9.915,8.8260002,576.3274001835082,7.676445774412499,1.0842399999999999,5651.0
56909,10.377,8.803000500000003,4291.9403663031235,6.486681797082173,0.75439203,4591.0
56941,10.384,9.4160004,733.8712172423227,28.287563328357997,1.1274198999999998,5764.0
56952,9.8369999,9.078000099999999,166.8058078144001,13.089915247504067,1.33208,6214.0
56970,10.404000000000002,9.123000099999999,211.27430876767036,10.645507604482004,0.88894701,5116.0
57162,10.42,8.411000300000001,1976.1018726082048,7.165408843498223,0.59600002,3921.0
57212,9.677,7.480999900000001,1391.4825418943537,6.546977620932597,0.389,3502.0
57322,11.003,8.602000199999999,1488.990978929446,5.750870395478168,0.41038799,3409.0
57724,11.36,9.2930002,2551.711770598773,11.720876091037221,0.67486799,4154.0
58030,11.530999999999999,9.7609997,1728.3288340968838,4.599958176159406,0.72322398,4428.0
59767,13.302,10.876,2547.983474597779,1.2233012778124208,0.31799999,3365.0
59976,12.455,10.118,6502.4746990983585,5.8857820145788615,0.32499999,3379.0
60320,13.968,11.112,8622.391838283253,12.152486738527912,0.22408899999999998,3046.0
61729,12.940999999999999,10.511,1007.0571334132387,6.105668910413197,0.41983199,3426.0
61989,12.790999999999999,10.652999999999999,744.2103517604468,2.269368324463401,0.580751,3781.0
62424,9.54,8.2849998,431.1475028832345,8.520391346327536,0.87656403,5199.0
62653,9.9989996,8.6829996,731.5360054025682,5.440605602025046,0.902982,5159.0
62929,10.769,9.3940001,1823.2747587634567,10.793683952269456,0.81820899,4870.0
62943,11.421,9.4809999,2228.8196783679605,3.53048127170246,0.65200001,4077.0
62977,11.288,9.446999499999999,6119.221558877659,5.758025944632497,0.662,4481.0
63020,11.120999999999999,8.816,2210.2839882906187,8.018415403288019,0.38600001,3497.0
64461,13.67,11.175999999999998,8465.896974863032,8.344985699930604,0.29600000000000004,3322.0
64720,11.823,9.522999800000001,1953.5903934911844,5.097338936843531,0.37400001,3474.0
66920,11.507,9.829000500000001,1956.2894988564613,6.102977007706075,0.72358501,4430.0
67018,11.812000000000001,9.751999900000001,2583.6379619588397,5.887368344613807,0.55900002,3836.0
67291,12.512,10.046,5681.3466455729285,7.356060215951926,0.29300001,3315.0
67371,12.776,10.489,2777.8715743559096,3.4201753395476513,0.36199999,3452.0
69932,6.905000200000001,5.4959998,531.2711352148466,6.258736807651651,0.828951,4911.0
70007,10.343,9.012000099999998,879.3902603018776,2.9566787252896183,0.88322902,5098.0
70176,9.9359999,9.005999599999997,433.287750244094,4.480907127444316,1.1427798999999998,5803.0
70371,8.9440002,7.373000099999999,258.6274920115532,4.014474763006652,0.84390098,4902.0
70475,8.9460001,6.6999998,523.2460780764129,1.1006452082092801,0.45100001,3514.0
70526,6.875,6.4489999000000005,222.0087386314257,6.603653496482513,1.64714,7456.0
70576,6.6139997999999975,6.532000099999999,221.0555231953193,3.454610435783948,1.8456299999999999,9172.0
71058,10.255999999999998,8.274000200000001,3425.208312512577,3.8558480125887815,0.62,3983.0
72787,11.062000000000001,9.9180002,1389.7097384569427,12.402605410721609,0.87179899,5375.0
72834,11.032,9.897999800000001,4275.500792766989,9.177952963362603,0.83649898,5354.0
72860,11.105,10.008,52890.5287710387,4.4330100392970975,0.57156098,5591.0
73358,8.2790003,7.390999799999999,630.5446598844028,10.817359737000768,1.36903,6148.3101
73593,11.345,10.135,783.0231234779968,7.077348091118402,0.60650998,5229.0
73594,11.345,10.135,758.5148851433568,6.006349672793378,0.60650998,5229.0
73627,15.850999999999999,12.904000000000002,84822.36166004301,9.830458187151233,0.125,2766.0
75306,8.701999699999998,6.915999900000001,627.4697552017127,5.5496875174284686,0.66600001,4130.0
75482,8.4020004,7.29,3128.630256619861,2.6613926537299233,0.95468003,5408.0
75693,9.5860004,8.696999499999999,325.8216513946084,4.63381055243092,1.5127701,5923.2998
75953,9.463999699999999,8.362999900000002,570.2787814536013,7.084613940037809,1.03601,5567.0
75970,8.3590002,7.270999900000001,622.8225378156593,5.944573747899512,0.98065197,5440.0
76101,9.4429998,7.9520000999999985,341.5989842624254,2.9371185516416016,0.78237402,4706.0
76113,9.805000300000001,8.349,1781.5210510094196,7.7046260166898035,0.75536501,5125.0
76114,9.805000300000001,8.349,529.6006889279981,2.5514746692001617,0.75536501,5125.0
76274,9.0319996,7.616000200000001,1161.510866561659,16.475558869878896,0.830522,4837.0
76275,9.0319996,7.616000200000001,2889.5781916665837,25.001040359143747,0.830522,4837.0
76354,9.448,8.7229996,225.4461340578385,5.534418731777366,1.14324,6614.0
76560,9.095999699999998,8.6239996,238.9120360034783,1.3805538737450402,1.60876,7634.0
76579,9.7089996,8.592,643.3342701944254,4.0155653204236135,1.14106,5398.0
76646,10.279000000000002,9.463999699999999,594.6033837621914,4.598530719411304,1.06971,6306.0
77034,10.368,9.3710003,902.563951494196,11.995441291532188,1.1755198999999998,5998.0
77054,9.989999800000001,9.2460003,367.34893032165866,13.532937942065336,1.27729,6746.0
77090,11.204,10.085,1523.5031248346666,63.5100978155854,0.93085903,5416.0
77168,9.7069998,8.880999599999997,709.9222112883322,6.07259045874584,1.1055598999999998,6868.0
77179,10.703,9.763999900000002,360.64624804044416,8.478945202348623,0.92978197,5740.0
77189,10.944,9.6429996,395.167088336271,9.59952520029026,0.95160198,5149.0
77233,10.227,9.2889996,17231.731049001635,65.0567120607394,1.2376698999999998,6368.0
77436,11.254000000000001,9.661999699999999,9681.155602360952,10.306482247269583,0.76731199,4653.0
77594,9.987999900000002,8.6330004,1021.0249198584632,11.559435819514615,0.848786,4983.0
77763,9.463000300000001,8.496999699999998,714.2518398469406,9.07644245496951,1.11465,5731.0
77880,9.158,8.220000299999999,233.6263640568629,3.911262244829735,1.13763,5790.0
78504,11.304,9.786000300000001,1587.2332826258514,7.015574904436195,0.85685003,5011.0
78523,10.757,9.493,609.1083745225278,6.853692235453758,0.93610102,5255.0
78563,12.648,10.325999999999999,3557.712648860621,12.332323811496947,0.48592401,3552.0
78576,11.0,8.7460003,2209.3012966522483,7.276599152098588,0.52840799,3645.0
78652,12.297,9.9160004,6366.8053132014575,7.445400500819432,0.42259401,3431.0
79551,12.634,10.16,7438.1351578076565,6.8592683220392106,0.259,3244.0
79694,11.478,9.6739998,1521.2886195248682,3.58625320052576,0.68547702,4212.0
79742,11.839,10.530999999999999,44309.70090127877,16.939267273255393,0.85801798,5015.0
79747,12.145999999999999,10.283,2212.8274949694337,55.62581783453308,0.68205899,4193.0
79749,12.614,10.657,2062.7443454038867,13.207213815205634,0.67049301,4131.0
79773,11.367,10.023,1063.7204799535366,14.633673025539787,0.84203303,4959.0
80734,14.82,11.935,19355.881097899808,12.598092495550844,0.14300001,2907.0
80735,14.82,11.935,38063.40049512209,92.97881779899664,0.14300001,2907.0
81262,13.957,11.338,10744.278464576817,6.59211819703385,0.21699999,3146.0
81604,12.812000000000001,9.941,14604.511129866889,8.09615747407619,0.15000001,2939.0
81889,12.754000000000001,10.370999999999999,7153.1797947055065,4.892091638007166,0.33500001,3399.0
82600,11.694,10.158,626.6795030490682,0.8448581527132908,0.69259501,4561.2402
82998,10.602,9.3570004,952.0571434924448,5.344268659643875,0.79991603,5255.0
83042,10.794,9.734000199999999,308.6592284397136,8.823271097815361,0.9912200000000001,5552.0
